"sample_list","sig_list","expected_list","fitsig_list","actual_list","diff"
"587224","SBS1",0.345392509886871,0.34539250988785,0.375870069605568,0.030477559718697
"TCGA-G4-6317-01A-11D-1719-10","SBS1",0.498965569086449,0.498965569086449,0.468531468531469,0.03043410055498
"T2991","SBS5",0.556276551727867,0.556276551730456,0.525862068965517,0.03041448276235
"LIM1899","SBS5",0.453040649939327,0.453040649939327,0.422649140546006,0.030391509393321
"TCGA-CM-4750-01A-01D-1408-10","SBS1",0.42260088487282,0.42260088487282,0.452991452991453,0.030390568118633
"TCGA-EI-6507-01A-11D-1733-10","SBS20",0.182870474728496,0.182870474728497,0.152556580050293,0.030313894678203
"TCGA-CM-4747-01A-01D-1408-10","SBS5",0.109419230277448,0.109419230277448,0.079136690647482,0.030282539629966
"TCGA-DM-A1HA-01A-11D-A152-10","SBS1",0.451535764025383,0.451535764025383,0.481675392670157,0.030139628644774
"TCGA-F4-6806-01A-11D-1835-10","SBS5",0.135524690004142,0.135524690004142,0.165562913907285,0.030038223903143
"TCGA-QG-A5Z1-01A-11D-A28G-10","SBS5",0.155189300501943,0.155189300501955,0.185185185185185,0.029995884683242
"TCGA-AD-6888-01A-11D-1924-10","SBS5",0.453144884511588,0.453144884511588,0.482993197278912,0.029848312767324
"TCGA-CI-6624-01C-11D-1826-10","SBS15",0.0164870328105355,0.0164870328105355,0.0463215258855586,0.0298344930750231
"TCGA-A6-4107-01A-02D-1408-10","SBS1",0.425883149083741,0.425883149083741,0.396078431372549,0.029804717711192
"TCGA-AG-A026-01A-32W-A096-10","SBS1",0.261903892662772,0.261903892662772,0.232142857142857,0.029761035519915
"C467","SBS44",0.430521605708648,0.430521605714099,0.46027397260274,0.029752366894092
"T3105","SBS5",0.524851970190478,0.524851970190478,0.495145631067961,0.029706339122517
"TCGA-CK-5913-01A-11D-1650-10","SBS20",0.174855946428277,0.174855946429281,0.204524033930254,0.029668087501977
"TCGA-AG-3898-01A-01W-1073-09","SBS1",0.335745964036447,0.335745964039134,0.365384615384615,0.029638651348168
"TCGA-A6-5662-01A-01D-1650-10","SBS40",0.418287526910842,0.418287526910842,0.447916666666667,0.029629139755825
"sysucc-1116T","SBS5",0.85226352779624,0.852263527796241,0.881889763779528,0.029626235983288
"T2987","SBS5",0.402252284886079,0.40225228488779,0.431818181818182,0.029565896932103
"TCGA-D5-6536-01A-11D-1719-10","SBS5",0.251782617399697,0.251782617399697,0.222222222222222,0.029560395177475
"587358","SBS1",0.60320942404984,0.60320942404984,0.573770491803279,0.029438932246561
"TCGA-D5-6930-01A-11D-1924-10","SBS15",0.527946012656127,0.527946012656127,0.557366771159875,0.029420758503748
